Job_title,Company,Location,Experience,Key_skills,Job_post,Rating
Data Scientist/ ML Engineer,Alpha Ai,Noida,2-7 Yrs,"algorithms, python, data analysis, data analytics, machine learning, data engineering, sql, data quality",3+ weeks ago,4.8
Data Engineer / Analyst,We Shine Academy,Chennai,0-3 Yrs,"hive, python, data analysis, data analytics, oracle, scala, data mining, data warehousing",3+ weeks ago,3.0
Data Engineer,Accenture,Chennai,2-4 Yrs,"data analytics, data engineering, etl, data integration, etl process, hive, python, data analysis",3 days ago,3.7
Data Scientist AI Engineer,Barclaycard Payments,Noida,3-7 Yrs,"algorithms, python, data analytics, data analysis, natural language processing, glue, aws sagemaker, data pipeline",3 days ago,3.8
Data Analyst,Crisil,Mumbai,2-4 Yrs,"advanced analytics, python, data analytics, data analysis, data management, scala, insights, data processing",5 days ago,3.5
Data Scientist,Amgen Inc,Hyderabad,3-7 Yrs,"python, scikit-learn, tensorflow, pytorch, ml, algorithms, data analysis, data analytics",6 days ago,2.8
Solar Engineer & Data Analyst,MNC,Pune,2-5 Yrs,"Solar, Solar Energy, Solar monitoring, Data Analytics, energy analytics, monitoring, Solar Power, Performance Monitoring",3+ weeks ago,4.2
Data Analyst - Faridabad,Model Business Services,Faridabad(Sector 32),3-6 Yrs,"Data Analyst, Etl Pipelines, Pyspark, Automation, Data Engineering, Power Bi, Business Intelligence Analyst, Advanced Excel",1 week ago,1.7
Data Analyst,Virtusa,Chennai,5-10 Yrs,"data analyst, data analytics, data pipelines, quality control, supply chain, regression testing, data engineer, ai",1 week ago,3.7
Data Engineer,Nalco Water,Remote,4-5 Yrs,"Azure Data Factory, PowerBI, Azure Synapse Analytics, ETL, Python, Data Engineering, APIs, SQL",1 week ago,3.7
Data Engineer,Accenture,Chennai,2-4 Yrs,"data analytics, data engineering, etl, data integration, etl process, hive, python, data analysis",5 days ago,3.7
Data Engineer - SWF,BMW Techworks India,Pune,2-6 Yrs,"hive, python, data analysis, data analytics, data validation, data warehousing, microsoft azure, data pipeline",1 week ago,3.4
Data Engineer,Barclaycard Payments,Pune,3-5 Yrs,"hive, python, data analysis, data analytics, scala, data warehousing, microsoft azure, pyspark",2 weeks ago,3.8
Data Engineer,Accenture,Chennai,2-4 Yrs,"data analytics, data engineering, etl, data integration, etl process, hive, python, data analysis",2 weeks ago,3.7
Data Engineer,Accenture,Chennai,2-4 Yrs,"data analytics, data engineering, etl, data integration, etl process, hive, ATCI-5094182-S1883971, python",2 weeks ago,3.7
Data Engineer,Accenture,Bengaluru,2-4 Yrs,"data analytics, data engineering, data pipeline architecture, etl, data integration, hive, python, data analysis",2 weeks ago,3.7
Data Engineer,Accenture,Hyderabad,2-4 Yrs,"data analytics, data engineering, etl, data integration, etl process, hive, python, data analysis",3 weeks ago,3.7
Data Engineer,Accenture,Pune,2-4 Yrs,"data analytics, data engineering, etl, data integration, etl process, hive, python, data analysis",3 weeks ago,3.7
Data Engineer,Accenture,Pune,2-4 Yrs,"data analytics, data engineering, etl, data integration, etl process, hive, python, data analysis",3 weeks ago,3.7
Data Engineer,Accenture,Navi Mumbai,2-4 Yrs,"data analytics, data engineering, etl, data integration, etl process, hive, python, data analysis",3 weeks ago,3.7
